official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
734	1	困	734_0	困	true	困难	困難	corpus-example	tatoeba:405750	俄罗斯面临着严重的财政困难。	俄羅斯面臨著嚴重的財政困難。		lexical-context
734	1	困	734_1	睏	false	困倦	睏倦	corpus-example	tatoeba:2456059	困倦的时候学习是在浪费时间。	睏倦的時候學習是在浪費時間。		lexical-context
737	1	员	737_1	員	false	委员会	委員會	authored-example	project-authored	委员会将在下周表决提案。	委員會將在下週表決提案。		lexical-context
739	1	听	739_1	聽	false	听说	聽說	corpus-example	tatoeba:336242	我们经常听说日本人工作勤奋。	我們經常聽說日本人工作勤奮。		lexical-context
742	1	呛	742_1	嗆	false	够呛	夠嗆	authored-example	project-authored	今天的风大得够呛。	今天的風大得夠嗆。		lexical-context
745	1	呜	745_1	嗚	false	呜咽	嗚咽	authored-example	project-authored	她听到消息后低声呜咽。	她聽到訊息後低聲嗚咽。		lexical-context
751	1	别	751_0	别	true	别姓	别姓	authored-example	project-authored	复姓和别姓都能反映家族历史。	複姓和别姓都能反映家族歷史。		lexical-context
751	1	别	751_1	彆	false	别扭	彆扭	authored-example	project-authored	这双新鞋穿起来有点别扭。	這雙新鞋穿起來有點彆扭。		lexical-context
753	1	岖	753_1	嶇	false	崎岖	崎嶇	corpus-example	tatoeba:13573155	巴苏陀兰的景色崎岖壮丽，别具一格，与我见过的南非其他地方都截然不同。	巴蘇陀蘭的景色崎嶇壯麗，別具一格，與我見過的南非其他地方都截然不同。		lexical-context
754	1	岗	754_1	崗	false	岗位	崗位	corpus-example	tatoeba:2383499	这个岗位不合适小姑娘。	這個崗位不合適小姑娘。		lexical-context
755	1	帐	755_1	帳	false	帐篷	帳篷	authored-natural-example	manual	我们在湖边搭起了帐篷。	我們在湖邊搭起了帳篷。		lexical-context
756	1	财	756_1	財	false	财产	財產	corpus-example	tatoeba:817294	他最近几年获得了很多财产。	他最近幾年獲得了很多財產。		lexical-context
757	1	针	757_1	針	false	方针	方針	authored-example	project-authored	会议确定了今后的工作方针。	會議確定了今後的工作方針。		lexical-context
758	1	钉	758_1	釘	false	钉子	釘子	corpus-example	tatoeba:840799	这个钉子撕破了他的夹克。	這個釘子撕破了他的夾克。		lexical-context
762	1	乱	762_1	亂	false	混乱	混亂	corpus-example	tatoeba:407337	吉尔吉斯斯坦的情况十分混乱。	吉爾吉斯斯坦的情況十分混亂。		lexical-context
770	1	体	770_1	體	false	政体	政體	authored-example	project-authored	不同国家采用不同的政体。	不同國家採用不同的政體。		lexical-context
780	1	佣	780_1	傭	false	雇佣	雇傭	corpus-example	tatoeba:1575957	因为他为人正直，所以我雇佣了他。	因為他為人正直，所以我雇傭了他。		lexical-context
792	1	彻	792_1	徹	false	彻底	徹底	authored-natural-example	manual	我们必须彻底解决这个问题。	我們必須徹底解決這個問題。		lexical-context
795	1	余	795_0	余	true	新余市	新余市	authored-example	project-authored	新余市位于江西省中部偏西。	新余市位於江西省中部偏西。		lexical-context
795	1	余	795_1	餘	false	其余	其餘	corpus-example	tatoeba:1541790	你留在这儿，其余的人去外面	你留在這兒，其餘的人去外面		lexical-context
798	1	谷	798_0	谷	true	河谷	河谷	corpus-example	tatoeba:13573400	他们向西北方向进军，进入了谢南多厄河谷。	他們向西北方向進軍，進入了謝南多厄河谷。		lexical-context
798	1	谷	798_1	穀	false	谷物	穀物	corpus-example	tatoeba:334454	黑麦被称为贫穷的谷物。	黑麥被稱為貧窮的穀物。		lexical-context
801	1	邻	801_1	鄰	false	邻近	鄰近	corpus-example	tatoeba:2615139	在我的邻近区域有一个大超市。	在我的鄰近區域有一個大超市。		lexical-context
807	1	肠	807_1	腸	false	肠子	腸子	authored-example	project-authored	他饿得肠子咕咕叫。	他餓得腸子咕咕叫。		lexical-context
808	1	龟	808_1	龜	false	乌龟	烏龜	corpus-example	tatoeba:339505	野兔被乌龟抛了在后头。	野兔被烏龜拋了在後頭。		lexical-context
812	1	犹	812_1	猶	false	犹如	猶如	corpus-example	tatoeba:7033616	靠武力取胜，犹如落败，因为这样的胜利不会长久。	靠武力取勝，猶如落敗，因為這樣的勝利不會長久。		lexical-context
813	1	狈	813_1	狽	false	狼狈	狼狽	corpus-example	tatoeba:13840626	你看看你们的样子，勾肩搭背，狼狈为奸。	你看看你們的樣子，勾肩搭背，狼狽為奸。		lexical-context
816	1	条	816_1	條	false	条件	條件	corpus-example	tatoeba:751241	不少人以高薪为成功的条件。	不少人以高薪為成功的條件。		lexical-context
820	1	岛	820_1	島	false	青岛	青島	authored-example	project-authored	青岛是一座美丽的海滨城市。	青島是一座美麗的海濱城市。		lexical-context
823	1	饭	823_1	飯	false	吃饭	吃飯	corpus-example	tatoeba:389397	我们找一天定个时间一起吃饭。	我們找一天定個時間一起吃飯。		lexical-context
824	1	饮	824_1	飲	false	饮食	飲食	corpus-example	tatoeba:389929	蔬果对平衡饮食必不可少。	蔬果對平衡飲食必不可少。		lexical-context
825	1	系	825_0	系	true	关系	關系	corpus-example	tatoeba:334900	这个犯罪和我一点关系都没有。	這個犯罪和我一點關系都沒有。		lexical-context
825	1	系	825_1	係	false	关系	關係	corpus-example	tatoeba:334900	这个犯罪和我一点关系都没有。	這個犯罪和我一點關係都沒有。		lexical-context
825	1	系	825_2	繫	false	联系	聯繫	corpus-example	tatoeba:334721	我们联系上他们已经为时已晚。	我們聯繫上他們已經為時已晚。		lexical-context
827	1	冻	827_1	凍	false	冻结	凍結	corpus-example	tatoeba:1239327	我将建筑称作被冻结的音乐。	我將建築稱作被凍結的音樂。		lexical-context
828	1	状	828_1	狀	false	状态	狀態	corpus-example	tatoeba:1888733	我不在讨论这个问题的状态。	我不在討論這個問題的狀態。		lexical-context
829	1	亩	829_1	畝	false	千亩	千畝	authored-example	project-authored	村里新开垦了千亩农田。	村裡新開墾了千畝農田。		lexical-context
832	1	库	832_1	庫	false	文库	文庫	authored-example	project-authored	这本文库收录了许多古典作品。	這本文庫收錄了許多古典作品。		lexical-context
834	1	疗	834_1	療	false	治疗	治療	corpus-example	tatoeba:334881	预防措施比真正的治疗更有效。	預防措施比真正的治療更有效。		lexical-context
836	1	应	836_1	應	false	应该	應該	corpus-example	tatoeba:336011	你们应该实行你们最初的计划。	你們應該實行你們最初的計劃。		lexical-context
837	1	这	837_1	這	false	这个	這個	corpus-example	tatoeba:332464	如果没有你，这个世界很孤单。	如果沒有你，這個世界很孤單。		lexical-context
839	1	庐	839_1	廬	false	庐山	廬山	authored-example	project-authored	夏天我们去庐山避暑。	夏天我們去廬山避暑。		lexical-context
845	1	闰	845_1	閏	false	闰年	閏年	authored-example	project-authored	闰年通常有三百六十六天。	閏年通常有三百六十六天。		lexical-context
846	1	闲	846_1	閑	false	闲暇	閑暇	corpus-example	tatoeba:357935	我常常在我的闲暇时候听广播。	我常常在我的閑暇時候聽廣播。		lexical-context
847	1	间	847_1	間	false	时间	時間	corpus-example	tatoeba:334705	你从来没时间处理重要的事情！	你從來沒時間處理重要的事情！		lexical-context
848	1	闷	848_1	悶	false	郁闷	鬱悶	corpus-example	tatoeba:2757133	汤姆失业后，为了排遣郁闷的心情而开始了赌博。	湯姆失業後，為了排遣鬱悶的心情而開始了賭博。		lexical-context
851	1	灶	851_1	竈	false	重起炉灶	重起爐竈	authored-example	project-authored	旧计划失败后，他们决定重起炉灶。	舊計劃失敗後，他們決定重起爐竈。		lexical-context
852	1	灿	852_1	燦	false	灿烂	燦爛	corpus-example	tatoeba:1112842	这个世界是灿烂的吗？	這個世界是燦爛的嗎？		lexical-context
859	1	沥	859_1	瀝	false	沥青	瀝青	corpus-example	tatoeba:13892103	小时候，我过马路时会踩着斑马线的白漆走，想象沥青路面是不能走的。	小時候，我過馬路時會踩著斑馬線的白漆走，想象瀝青路面是不能走的。		lexical-context
863	1	沦	863_1	淪	false	沦为	淪為	authored-example	project-authored	那座工厂已经沦为废墟。	那座工廠已經淪為廢墟。		lexical-context
866	1	沧	866_1	滄	false	沧州	滄州	authored-example	project-authored	沧州以武术传统闻名。	滄州以武術傳統聞名。		lexical-context
868	1	沟	868_1	溝	false	沟通	溝通	corpus-example	tatoeba:798201	飞行员用无线电与机场沟通。	飛行員用無線電與機場溝通。		lexical-context
869	1	沪	869_1	滬	false	京沪	京滬	authored-example	project-authored	京沪铁路连接北京和上海。	京滬鐵路連線北京和上海。		lexical-context
870	1	沈	870_0	沈	true	沈国放	沈國放	authored-example	project-authored	沈国放曾担任中国外交官。	沈國放曾擔任中國外交官。		lexical-context
870	1	沈	870_1	瀋	false	沈阳	瀋陽	authored-example	project-authored	沈阳是辽宁省的省会。	瀋陽是遼寧省的省會。		lexical-context
873	1	怀	873_1	懷	false	怀疑	懷疑	corpus-example	tatoeba:6315385	你是谁？我怀疑你不是这里的。	你是誰？我懷疑你不是這裡的。		lexical-context
874	1	忧	874_1	憂	false	担忧	擔憂	corpus-example	tatoeba:2338569	我们对女儿的健康问题很担忧。	我們對女兒的健康問題很擔憂。		lexical-context
882	1	穷	882_1	窮	false	穷人	窮人	corpus-example	tatoeba:512198	我不喜欢穷人，他们只想着钱。	我不喜歡窮人，他們只想著錢。		lexical-context
885	1	证	885_1	證	false	保证	保證	corpus-example	tatoeba:785816	团结、公正和自由是幸福的保证。	團結、公正和自由是幸福的保證。		lexical-context
886	1	启	886_1	啓	false	启发	啓發	corpus-example	tatoeba:13455222	他们的评论很有启发性。	他們的評論很有啓發性。		lexical-context
887	1	评	887_1	評	false	评价	評價	corpus-example	tatoeba:346460	老板对你的工作有很高的评价。	老闆對你的工作有很高的評價。		lexical-context
888	1	补	888_1	補	false	补充	補充	corpus-example	tatoeba:5267737	我刚才说的内容，你想补充么？	我剛才說的內容，你想補充麼？		lexical-context
892	1	识	892_1	識	false	认识	認識	corpus-example	tatoeba:136402	你记不记得我们认识的那一天？	你記不記得我們認識的那一天？		lexical-context
893	1	诈	893_1	詐	false	欺诈	欺詐	authored-example	project-authored	消费者应当警惕网络欺诈。	消費者應當警惕網路欺詐。		lexical-context
894	1	诉	894_1	訴	false	告诉	告訴	corpus-example	tatoeba:332602	请写信告诉我你们学校的情况。	請寫信告訴我你們學校的情況。		lexical-context
896	1	诊	896_1	診	false	诊断	診斷	corpus-example	tatoeba:1210437	诊断患有“网络成瘾症”的人差不多总是也有其他的困难。	診斷患有“網路成癮症”的人差不多總是也有其他的困難。		lexical-context
897	1	词	897_1	詞	false	词条	詞條	authored-example	project-authored	编辑补充了缺失的词条。	編輯補充了缺失的詞條。		lexical-context
898	1	译	898_1	譯	false	翻译	翻譯	authored-example	project-authored	这篇文章的翻译很流畅。	這篇文章的翻譯很流暢。		lexical-context
900	1	灵	900_1	靈	false	灵魂	靈魂	corpus-example	tatoeba:1014146	你的灵魂已经坠进地狱了。	你的靈魂已經墜進地獄了。		lexical-context
902	1	层	902_1	層	false	一层	一層	corpus-example	tatoeba:13878375	这场雨使她心头蒙上了一层阴云。	這場雨使她心頭蒙上了一層陰雲。		lexical-context
906	1	迟	906_1	遲	false	迟疑	遲疑	corpus-example	tatoeba:1584519	在他答复之前，他犹豫迟疑了一下。	在他答覆之前，他猶豫遲疑了一下。		lexical-context
909	1	张	909_1	張	false	主张	主張	corpus-example	tatoeba:1861026	中国主张钓鱼岛的所有权。	中國主張釣魚島的所有權。		lexical-context
911	1	际	911_1	際	false	国际	國際	corpus-example	tatoeba:2486507	不好意思，我找国际航班登机楼。	不好意思，我找國際航班登機樓。		lexical-context
912	1	陆	912_1	陸	false	大陆	大陸	corpus-example	tatoeba:2882569	非洲是一块非常大的大陆。	非洲是一塊非常大的大陸。		lexical-context
914	1	陈	914_1	陳	false	陈水扁	陳水扁	authored-example	project-authored	陈水扁曾任台湾地区领导人。	陳水扁曾任臺灣地區領導人。		lexical-context
917	1	坠	917_1	墜	false	坠落	墜落	corpus-example	tatoeba:13511909	眼泪不要坠落。	眼淚不要墜落。		lexical-context
926	1	劲	926_1	勁	false	使劲	使勁	corpus-example	tatoeba:8744807	啄木鸟正在使劲地啄树干。	啄木鳥正在使勁地啄樹幹。		lexical-context
928	1	鸡	928_1	鷄	false	鸡蛋	鷄蛋	corpus-example	tatoeba:1866580	这些鸡蛋坏掉了，不能拿来煎。	這些鷄蛋壞掉了，不能拿來煎。		lexical-context
929	1	纬	929_1	緯	false	北纬	北緯	authored-example	project-authored	台北位于北纬二十五度附近。	臺北位於北緯二十五度附近。		lexical-context
930	1	驱	930_1	驅	false	驱逐	驅逐	corpus-example	tatoeba:3947643	许多犹太人被德国人驱逐。	許多猶太人被德國人驅逐。		lexical-context
931	1	纯	931_1	純	false	单纯	單純	corpus-example	tatoeba:6037679	留西雅是一个很单纯的姑娘。	留西雅是一個很單純的姑娘。		lexical-context
932	1	纱	932_1	紗	false	棉纱	棉紗	authored-example	project-authored	工厂把棉纱织成布料。	工廠把棉紗織成布料。		lexical-context
933	1	纲	933_1	綱	false	纲领	綱領	authored-example	project-authored	大会通过了新的行动纲领。	大會通過了新的行動綱領。		lexical-context
934	1	纳	934_1	納	false	纳入	納入	corpus-example	tatoeba:13556515	中国正将阿尔及利亚纳入「一带一路」战略。	中國正將阿爾及利亞納入「一帶一路」戰略。		lexical-context
935	1	驳	935_1	駁	false	反驳	反駁	corpus-example	tatoeba:13876595	汤姆用一个反例反驳了那个说法。	湯姆用一個反例反駁了那個說法。		lexical-context
936	1	纵	936_1	縱	false	操纵	操縱	corpus-example	tatoeba:10215680	幕后操纵者是谁？	幕後操縱者是誰？		lexical-context
937	1	纷	937_1	紛	false	纠纷	糾紛	authored-example	project-authored	双方通过调解解决了纠纷。	雙方透過調解解決了糾紛。		lexical-context
938	1	纸	938_1	紙	false	报纸	報紙	corpus-example	tatoeba:336724	在那儿看报纸的男人是我叔叔。	在那兒看報紙的男人是我叔叔。		lexical-context
939	1	纹	939_1	紋	false	纹饰	紋飾	authored-example	project-authored	陶器表面刻有精美纹饰。	陶器表面刻有精美紋飾。		lexical-context
940	1	纺	940_1	紡	false	纺织	紡織	corpus-example	tatoeba:797115	苏格兰以其羊毛纺织品而著名。	蘇格蘭以其羊毛紡織品而著名。		lexical-context
941	1	驴	941_1	驢	false	驴子	驢子	corpus-example	tatoeba:765247	驴子对驴子抱怨他很笨。	驢子對驢子抱怨他很笨。		lexical-context
942	1	纽	942_1	紐	false	纽约	紐約	corpus-example	tatoeba:406326	这列火车从纽约开往波士顿。	這列火車從紐約開往波士頓。		lexical-context
945	1	环	945_1	環	false	环境	環境	corpus-example	tatoeba:1413679	在这么嘈杂的环境中无法学习。	在這麼嘈雜的環境中無法學習。		lexical-context
948	1	责	948_1	責	false	负责	負責	corpus-example	tatoeba:334340	父母要对他们子女的安全负责。	父母要對他們子女的安全負責。		lexical-context
949	1	现	949_1	現	false	现在	現在	corpus-example	tatoeba:420778	王兄，你现在在做什么生意了？	王兄，你現在在做什麼生意了？		lexical-context
951	1	表	951_0	表	true	代表	代表	corpus-example	tatoeba:765320	那么，这代表更健康的城市吗？	那麼，這代表更健康的城市嗎？		lexical-context
951	1	表	951_1	錶	false	仪表	儀錶	corpus-example	tatoeba:8744628	汤姆把他的太阳镜留在我的车的仪表板上了。	湯姆把他的太陽鏡留在我的車的儀錶板上了。		lexical-context
952	1	规	952_1	規	false	规定	規定	corpus-example	tatoeba:3042328	一些海滩没能遵守环保规定。	一些海灘沒能遵守環保規定。		lexical-context
958	1	拢	958_1	攏	false	拉拢	拉攏	authored-example	project-authored	他试图拉拢几名中立代表。	他試圖拉攏幾名中立代表。		lexical-context
961	1	拣	961_1	揀	false	拣选	揀選	authored-example	project-authored	工人仔细拣选成熟的果实。	工人仔細揀選成熟的果實。		lexical-context
963	1	担	963_1	擔	false	担任	擔任	corpus-example	tatoeba:454257	他在担任总统期间访问了日本。	他在擔任總統期間訪問了日本。		lexical-context
971	1	顶	971_1	頂	false	头顶	頭頂	corpus-example	tatoeba:1766192	刚好有一架飞机从我头顶飞过。	剛好有一架飛機從我頭頂飛過。		lexical-context
974	1	拥	974_1	擁	false	拥有	擁有	corpus-example	tatoeba:472818	企业管理不同于拥有一家企业。	企業管理不同於擁有一家企業。		lexical-context
977	1	势	977_1	勢	false	优势	優勢	corpus-example	tatoeba:755897	主场队总是比对手有优势。	主場隊總是比對手有優勢。		lexical-context
982	1	拦	982_1	攔	false	拦截	攔截	authored-example	project-authored	守门员成功拦截了传球。	守門員成功攔截了傳球。		lexical-context
985	1	拧	985_1	擰	false	拧开	擰開	authored-example	project-authored	她拧开瓶盖喝了一口水。	她擰開瓶蓋喝了一口水。		lexical-context
991	1	拨	991_1	撥	false	拨乱反正	撥亂反正	authored-example	project-authored	新政府承诺尽快拨乱反正。	新政府承諾儘快撥亂反正。		lexical-context
992	1	择	992_1	擇	false	选择	選擇	corpus-example	tatoeba:335006	你可以选择红茶，咖啡或牛奶。	你可以選擇紅茶，咖啡或牛奶。		lexical-context
1004	1	苹	1004_1	蘋	false	苹果	蘋果	corpus-example	tatoeba:476614	不是所有的小孩子都喜欢苹果。	不是所有的小孩子都喜歡蘋果。		lexical-context
1010	1	范	1010_0	范	true	范蠡	范蠡	authored-example	project-authored	范蠡是春秋末期的政治家。	范蠡是春秋末期的政治家。		lexical-context
1010	1	范	1010_1	範	false	范围	範圍	corpus-example	tatoeba:1883635	他试图扩大自己的势力范围。	他試圖擴大自己的勢力範圍。		lexical-context
1014	1	茎	1014_1	莖	false	阴茎	陰莖	corpus-example	tatoeba:8932461	别吸烟。吸烟可能缩短你的阴茎。	別吸菸。吸菸可能縮短你的陰莖。		lexical-context
1021	1	枢	1021_1	樞	false	枢纽	樞紐	authored-example	project-authored	这座城市是重要的交通枢纽。	這座城市是重要的交通樞紐。		lexical-context
1022	1	柜	1022_1	櫃	false	掌柜	掌櫃	authored-example	project-authored	客栈掌柜热情地招呼客人。	客棧掌櫃熱情地招呼客人。		lexical-context
1025	1	板	1025_0	板	true	老板	老板	corpus-example	tatoeba:346460	老板对你的工作有很高的评价。	老板對你的工作有很高的評價。		lexical-context
1025	1	板	1025_1	闆	false	老板	老闆	corpus-example	tatoeba:346460	老板对你的工作有很高的评价。	老闆對你的工作有很高的評價。		lexical-context
1026	1	松	1026_0	松	true	武松	武松	authored-example	project-authored	武松是古典小说中的人物。	武松是古典小說中的人物。		lexical-context
1026	1	松	1026_1	鬆	false	轻松	輕鬆	corpus-example	tatoeba:522166	放轻松，这只是个稻草人而已。	放輕鬆，這只是個稻草人而已。		lexical-context
1027	1	枪	1027_1	槍	false	步枪	步槍	corpus-example	tatoeba:869916	班杰明用步枪射了一只熊。	班傑明用步槍射了一隻熊。		lexical-context
1028	1	枫	1028_1	楓	false	枫叶	楓葉	corpus-example	tatoeba:13573786	桌上摆放著一瓶被霜冻漂白的蕨类植物和红宝石色的枫叶。	桌上擺放著一瓶被霜凍漂白的蕨類植物和紅寶石色的楓葉。		lexical-context
1029	1	构	1029_1	構	false	机构	機構	corpus-example	tatoeba:2367587	我一得到一大笔钱就捐一部分给慈善机构。	我一得到一大筆錢就捐一部分給慈善機構。		lexical-context
1034	1	丧	1034_1	喪	false	丧失	喪失	corpus-example	tatoeba:2054131	他完全丧失了能成功的信心。	他完全喪失了能成功的信心。		lexical-context
1036	1	画	1036_1	畫	false	画家	畫家	corpus-example	tatoeba:1490534	他是个画家，但他不会画国画。	他是個畫家，但他不會畫國畫。		lexical-context
1040	1	枣	1040_1	棗	false	蜜枣	蜜棗	authored-example	project-authored	这袋蜜枣又甜又软。	這袋蜜棗又甜又軟。		lexical-context
1042	1	卖	1042_1	賣	false	买卖	買賣	corpus-example	tatoeba:420746	我天天在这里做买卖，不会让你吃亏的！	我天天在這裡做買賣，不會讓你吃虧的！		lexical-context
1043	1	郁	1043_0	郁	true	浓郁	濃郁	corpus-example	tatoeba:13549587	充分氧化反应赋予红茶浓郁醇厚的风味和深琥珀色。	充分氧化反應賦予紅茶濃郁醇厚的風味和深琥珀色。		lexical-context
1043	1	郁	1043_1	鬱	false	郁闷	鬱悶	corpus-example	tatoeba:2757133	汤姆失业后，为了排遣郁闷的心情而开始了赌博。	湯姆失業後，為了排遣鬱悶的心情而開始了賭博。		lexical-context
1044	1	矾	1044_1	礬	false	明矾	明礬	authored-example	project-authored	明矾过去常被用于净水。	明礬過去常被用於淨水。		lexical-context
1045	1	矿	1045_1	礦	false	矿产	礦產	authored-example	project-authored	这一地区拥有丰富的矿产。	這一地區擁有豐富的礦產。		lexical-context
1046	1	码	1046_1	碼	false	码头	碼頭	corpus-example	tatoeba:13886138	末班渡轮在晚上十点整发船，请提早抵达码头。	末班渡輪在晚上十點整發船，請提早抵達碼頭。		lexical-context
1047	1	厕	1047_1	厠	false	厕所	厠所	corpus-example	tatoeba:10301340	稍等一下，我想去上一下厕所。	稍等一下，我想去上一下厠所。		lexical-context
1051	1	奋	1051_1	奮	false	兴奋	興奮	corpus-example	tatoeba:529645	你半透明的裙子让我高度兴奋。	你半透明的裙子讓我高度興奮。		lexical-context
1052	1	态	1052_1	態	false	状态	狀態	corpus-example	tatoeba:1888733	我不在讨论这个问题的状态。	我不在討論這個問題的狀態。		lexical-context
1053	1	欧	1053_1	歐	false	欧洲	歐洲	corpus-example	tatoeba:7795217	那离欧洲有点远，你不觉得吗？	那離歐洲有點遠，你不覺得嗎？		lexical-context
1054	1	殴	1054_1	毆	false	殴打	毆打	corpus-example	tatoeba:13317051	我看见汤姆殴打玛丽。	我看見湯姆毆打瑪麗。		lexical-context
1055	1	垄	1055_1	壟	false	垄断	壟斷	corpus-example	tatoeba:2047863	他们垄断了原物料供应，并开天价。	他們壟斷了原物料供應，並開天價。		lexical-context
1057	1	轰	1057_1	轟	false	轰炸机	轟炸機	authored-example	project-authored	轰炸机从机场起飞。	轟炸機從機場起飛。		lexical-context
1058	1	顷	1058_1	頃	false	公顷	公頃	authored-example	project-authored	这片森林占地数千公顷。	這片森林佔地數千公頃。		lexical-context
1059	1	转	1059_1	轉	false	转移	轉移	corpus-example	tatoeba:13920591	他试图转移大家的注意力。	他試圖轉移大家的注意力。		lexical-context
1060	1	斩	1060_1	斬	false	斩首	斬首	authored-example	project-authored	将军下令对俘虏执行斩首。	將軍下令對俘虜執行斬首。		lexical-context
1061	1	轮	1061_1	輪	false	一轮	一輪	corpus-example	tatoeba:871218	再来一轮怎么样？	再來一輪怎麼樣？		lexical-context
1062	1	软	1062_1	軟	false	软件	軟件	corpus-example	tatoeba:9772966	为什么我的翻墙软件速度很慢？	為什麼我的翻牆軟件速度很慢？		lexical-context
1068	1	齿	1068_1	齒	false	牙齿	牙齒	corpus-example	tatoeba:5685903	我的牙齿没有我希望的那样白。	我的牙齒沒有我希望的那樣白。		lexical-context
1072	1	虏	1072_1	虜	false	俘虏	俘虜	authored-example	project-authored	士兵押送俘虏回到营地。	士兵押送俘虜回到營地。		lexical-context
1073	1	肾	1073_1	腎	false	肾脏	腎臟	corpus-example	tatoeba:3763535	肾脏病患者请勿在无医生同意下服用。	腎臟病患者請勿在無醫生同意下服用。		lexical-context
1074	1	贤	1074_1	賢	false	魏忠贤	魏忠賢	authored-example	project-authored	魏忠贤是明代宦官。	魏忠賢是明代宦官。		lexical-context
1081	1	国	1081_1	國	false	中国	中國	corpus-example	tatoeba:613113	在中国十一月十一号是光棍节。	在中國十一月十一號是光棍節。		lexical-context
1086	1	畅	1086_1	暢	false	畅销	暢銷	corpus-example	tatoeba:785084	她抓紧时间地阅读一本畅销小说。	她抓緊時間地閱讀一本暢銷小說。		lexical-context
1089	1	咙	1089_1	嚨	false	喉咙	喉嚨	corpus-example	tatoeba:1270579	我的喉咙又干又红、又痛又痒。	我的喉嚨又幹又紅、又痛又癢。		lexical-context
1100	1	鸣	1100_1	鳴	false	鸣叫	鳴叫	authored-example	project-authored	清晨传来鸟儿的鸣叫。	清晨傳來鳥兒的鳴叫。		lexical-context
1108	1	罗	1108_1	羅	false	俄罗斯	俄羅斯	corpus-example	tatoeba:405750	俄罗斯面临着严重的财政困难。	俄羅斯面臨著嚴重的財政困難。		lexical-context
1109	1	帜	1109_1	幟	false	旗帜	旗幟	corpus-example	tatoeba:13153676	反叛者践踏敌人的旗帜，以示挑衅。	反叛者踐踏敵人的旗幟，以示挑釁。		lexical-context
1111	1	岭	1111_1	嶺	false	秦岭	秦嶺	authored-example	project-authored	秦岭横贯中国中部。	秦嶺橫貫中國中部。		lexical-context
1112	1	凯	1112_1	凱	false	袁世凯	袁世凱	authored-example	project-authored	袁世凯曾任中华民国大总统。	袁世凱曾任中華民國大總統。		lexical-context
1113	1	败	1113_1	敗	false	失败	失敗	corpus-example	tatoeba:346477	听说他失败了，我感到很惊讶。	聽說他失敗了，我感到很驚訝。		lexical-context
1114	1	账	1114_1	賬	false	账户	賬戶	corpus-example	tatoeba:5551197	我认为你应该在这里开个账户。	我認為你應該在這裡開個賬戶。		lexical-context
1115	1	贩	1115_1	販	false	贩卖	販賣	corpus-example	tatoeba:811269	她在演唱会的场地贩卖毒品。	她在演唱會的場地販賣毒品。		lexical-context
1116	1	贬	1116_1	貶	false	贬值	貶值	corpus-example	tatoeba:1408044	随着通货膨胀的发展美元贬值了。	隨著通貨膨脹的發展美元貶值了。		lexical-context
1117	1	购	1117_1	購	false	购买	購買	corpus-example	tatoeba:429478	我当时每个月都会购买五本书。	我當時每個月都會購買五本書。		lexical-context
1118	1	贮	1118_1	貯	false	贮藏	貯藏	authored-example	project-authored	地窖适合贮藏冬季蔬菜。	地窖適合貯藏冬季蔬菜。		lexical-context
1119	1	图	1119_1	圖	false	图片	圖片	corpus-example	tatoeba:1408095	这张图片让我想起了我的家人。	這張圖片讓我想起了我的家人。		lexical-context
1120	1	钓	1120_1	釣	false	钓鱼岛	釣魚島	authored-example	project-authored	钓鱼岛位于东海。	釣魚島位於東海。		lexical-context
1121	1	制	1121_0	制	true	制度	制度	corpus-example	tatoeba:1737909	我们想修改学校的规章制度。	我們想修改學校的規章制度。		lexical-context
1121	1	制	1121_1	製	false	制造	製造	corpus-example	tatoeba:437302	他为他的迟到制造了一个借口。	他為他的遲到製造了一個藉口。		lexical-context
1129	1	刮	1129_0	刮	true	搜刮	搜刮	authored-example	project-authored	官吏借机搜刮百姓的钱财。	官吏藉機搜刮百姓的錢財。		lexical-context
1129	1	刮	1129_1	颳	false	刮风	颳風	corpus-example	tatoeba:1313753	今天有一点刮风。	今天有一點颳風。		lexical-context
1141	1	侠	1141_1	俠	false	大侠	大俠	corpus-example	tatoeba:8637410	与此同时江琴分散了江枫的哥哥燕大侠的注意力。	與此同時江琴分散了江楓的哥哥燕大俠的注意力。		lexical-context
1142	1	侥	1142_1	僥	false	侥幸	僥倖	corpus-example	tatoeba:10042018	好险啊，还好侥幸逃过一劫。	好險啊，還好僥倖逃過一劫。		lexical-context
1145	1	侦	1145_1	偵	false	侦察	偵察	corpus-example	tatoeba:1223757	那嫌疑犯对侦察官撒了个谎。	那嫌疑犯對偵察官撒了個謊。		lexical-context
1147	1	侧	1147_1	側	false	两侧	兩側	authored-example	project-authored	道路两侧种满了梧桐树。	道路兩側種滿了梧桐樹。		lexical-context
1148	1	凭	1148_1	憑	false	凭借	憑借	corpus-example	tatoeba:2085116	那只鸟凭借自己巨大的翅膀能飞得很快。	那隻鳥憑借自己巨大的翅膀能飛得很快。		lexical-context
1149	1	侨	1149_1	僑	false	华侨	華僑	authored-example	project-authored	许多华侨仍与故乡保持联系。	許多華僑仍與故鄉保持聯絡。		lexical-context
1151	1	货	1151_1	貨	false	货币	貨幣	corpus-example	tatoeba:6039669	在商朝，贝朋为通用货币。	在商朝，貝朋為通用貨幣。		lexical-context
