order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
293	4011_1	支流	支流	zhī liú		tributary	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	、瀧水等較大支流匯入，水量大增；吉水到新幹段，切穿武功山餘脈，形成一較長的峽谷帶。	leipzig	zho_wikipedia_2018_1M:666436	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	CC-CEDICT	
294	4011_1	水量	水量	shuǐ liàng		volume of water	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	、瀧水等較大支流匯入，水量大增；吉水到新幹段，切穿武功山餘脈，形成一較長的峽谷帶。	leipzig	zho_wikipedia_2018_1M:666436	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	CC-CEDICT	
295	4011_1	吉水	吉水	jí shuǐ		Jishui	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	、瀧水等較大支流匯入，水量大增；吉水到新幹段，切穿武功山餘脈，形成一較長的峽谷帶。	leipzig	zho_wikipedia_2018_1M:666436	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	CC-CEDICT	
296	4011_1	武功	武功	wǔ gōng		martial art	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	、瀧水等較大支流匯入，水量大增；吉水到新幹段，切穿武功山餘脈，形成一較長的峽谷帶。	leipzig	zho_wikipedia_2018_1M:666436	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	CC-CEDICT	
297	4011_1	峡谷	峽谷	xiá gǔ		canyon	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	、瀧水等較大支流匯入，水量大增；吉水到新幹段，切穿武功山餘脈，形成一較長的峽谷帶。	leipzig	zho_wikipedia_2018_1M:666436	、泷水等较大支流汇入，水量大增；吉水到新干段，切穿武功山余脉，形成一较长的峡谷带。	CC-CEDICT	
298	4012_1	这时	這時	zhè shí		at this time	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	這時瀘州剛遭受過敵機洗劫，火光未息，一片廢墟，慘不忍睹。	leipzig	zho_news_2020_300K:275372	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	CC-CEDICT	
299	4012_1	泸州	瀘州	lú zhōu		Luzhou	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	這時瀘州剛遭受過敵機洗劫，火光未息，一片廢墟，慘不忍睹。	leipzig	zho_news_2020_300K:275372	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	CC-CEDICT	
300	4012_1	洗劫	洗劫	xǐ jié		to loot	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	這時瀘州剛遭受過敵機洗劫，火光未息，一片廢墟，慘不忍睹。	leipzig	zho_news_2020_300K:275372	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	CC-CEDICT	
301	4012_1	火光	火光	huǒ guāng		flame	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	這時瀘州剛遭受過敵機洗劫，火光未息，一片廢墟，慘不忍睹。	leipzig	zho_news_2020_300K:275372	这时泸州刚遭受过敌机洗劫，火光未息，一片废墟，惨不忍睹。	CC-CEDICT	
302	4017_1	水流	水流	shuǐ liú		river	泺水流经山东。	濼水流經山東。	preexisting			CC-CEDICT	
303	4017_1	山东	山東	shān dōng		Shandong	泺水流经山东。	濼水流經山東。	preexisting			CC-CEDICT	
304	4031_1	性情	性情	xìng qíng		nature	他的性情十分㤘。	他的性情十分㥮。	preexisting			CC-CEDICT	
305	4034_1	喜讯	喜訊	xǐ xùn		good news	闻此喜讯，众人皆怿。	聞此喜訊，眾人皆懌。	preexisting			CC-CEDICT	
306	4038_1	诓骗	誆騙	kuāng piàn		to defraud	诓骗表示一种动作。	誆騙表示一種動作。	authored	level-2/4038_1	诓骗表示一种动作。	CC-CEDICT	
307	4041_1	结党	結黨	jié dǎng		to form a clique	取中之，结党欺君，故上召对诘问。	取中之，結黨欺君，故上召對詰問。	leipzig	zho_wikipedia_2018_1M:280965	取中之，结党欺君，故上召对诘问。	CC-CEDICT	
308	4043_1	诙谐	詼諧	huī xié		humorous	汤姆具有诙谐的性格。	湯姆具有詼諧的性格。	tatoeba	13149133	湯姆具有詼諧的性格。	CC-CEDICT	
309	4043_1	性格	性格	xìng gé		nature	汤姆具有诙谐的性格。	湯姆具有詼諧的性格。	tatoeba	13149133	湯姆具有詼諧的性格。	CC-CEDICT	
310	4045_1	新任	新任	xīn rèn		newly-appointed	新任郓城县知县的姘头白秀英到郓城卖艺。	新任鄆城縣知縣的姘頭白秀英到鄆城賣藝。	leipzig	zho_wikipedia_2018_1M:556715	新任郓城县知县的姘头白秀英到郓城卖艺。	CC-CEDICT	
311	4045_1	姘头	姘頭	pīn tou	pīn tóu	lover	新任郓城县知县的姘头白秀英到郓城卖艺。	新任鄆城縣知縣的姘頭白秀英到鄆城賣藝。	leipzig	zho_wikipedia_2018_1M:556715	新任郓城县知县的姘头白秀英到郓城卖艺。	CC-CEDICT	Taiwan MOE Concise Dictionary
312	4051_1	诛杀	誅殺	zhū shā		to kill	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	繼誅殺蒙氏兄弟之後，他們又將殺戮的矛頭轉向了秦國王室。	leipzig	zho_news_2020_300K:234738	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	CC-CEDICT	
313	4051_1	兄弟	兄弟	xiōng dì		brothers	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	繼誅殺蒙氏兄弟之後，他們又將殺戮的矛頭轉向了秦國王室。	leipzig	zho_news_2020_300K:234738	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	CC-CEDICT	
314	4051_1	杀戮	殺戮	shā lù		to massacre	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	繼誅殺蒙氏兄弟之後，他們又將殺戮的矛頭轉向了秦國王室。	leipzig	zho_news_2020_300K:234738	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	CC-CEDICT	
315	4051_1	矛头	矛頭	máo tóu		spearhead	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	繼誅殺蒙氏兄弟之後，他們又將殺戮的矛頭轉向了秦國王室。	leipzig	zho_news_2020_300K:234738	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	CC-CEDICT	
316	4051_1	转向	轉向	zhuǎn xiàng		to change direction	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	繼誅殺蒙氏兄弟之後，他們又將殺戮的矛頭轉向了秦國王室。	leipzig	zho_news_2020_300K:234738	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	CC-CEDICT	
317	4051_1	秦国	秦國	qín guó		the state of Qin	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	繼誅殺蒙氏兄弟之後，他們又將殺戮的矛頭轉向了秦國王室。	leipzig	zho_news_2020_300K:234738	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	CC-CEDICT	
318	4051_1	王室	王室	wáng shì		royal family	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	繼誅殺蒙氏兄弟之後，他們又將殺戮的矛頭轉向了秦國王室。	leipzig	zho_news_2020_300K:234738	继诛杀蒙氏兄弟之后，他们又将杀戮的矛头转向了秦国王室。	CC-CEDICT	
319	4052_1	丹桂	丹桂	dān guì		orange osmanthus	郤诜丹桂是一个较少见的词语。	郤詵丹桂是一個較少見的詞語。	authored	level-2/4052_1	郤诜丹桂是一个较少见的词语。	CC-CEDICT	
320	4053_1	出手	出手	chū shǒu		to dispose of	毕竟他们出手的话，实在是落人诟病。	畢竟他們出手的話，實在是落人詬病。	leipzig	zho_news_2020_300K:196195	毕竟他们出手的话，实在是落人诟病。	CC-CEDICT	
321	4054_1	电影	電影	diàn yǐng		movie	这部电影试图打破刻板印象，重新诠释何谓真正的男性特质。	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	tatoeba	13233305	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	CC-CEDICT	
322	4054_1	打破	打破	dǎ pò		to break	这部电影试图打破刻板印象，重新诠释何谓真正的男性特质。	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	tatoeba	13233305	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	CC-CEDICT	
323	4054_1	刻板	刻板	kè bǎn		stiff	这部电影试图打破刻板印象，重新诠释何谓真正的男性特质。	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	tatoeba	13233305	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	CC-CEDICT	
324	4054_1	诠释	詮釋	quán shì		to interpret	这部电影试图打破刻板印象，重新诠释何谓真正的男性特质。	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	tatoeba	13233305	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	CC-CEDICT	
325	4054_1	男性	男性	nán xìng		the male sex	这部电影试图打破刻板印象，重新诠释何谓真正的男性特质。	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	tatoeba	13233305	這部電影試圖打破刻板印象，重新詮釋何謂真正的男性特質。	CC-CEDICT	
326	4055_1	钢琴	鋼琴	gāng qín		piano	虽然在钢琴上她的造诣不是很深，但是她勤而好学。	雖然在鋼琴上她的造詣不是很深，但是她勤而好學。	tatoeba	2432799	虽然在钢琴上她的造诣不是很深，但是她勤而好学。	CC-CEDICT	
327	4055_1	好学	好學	hǎo xué		easy to learn	虽然在钢琴上她的造诣不是很深，但是她勤而好学。	雖然在鋼琴上她的造詣不是很深，但是她勤而好學。	tatoeba	2432799	虽然在钢琴上她的造诣不是很深，但是她勤而好学。	CC-CEDICT	
328	4057_1	诧异	詫異	chà yì		flabbergasted	魏小明很诧异：“你怎么变得这么厉害！	魏小明很詫異：“你怎麼變得這麼厲害！	leipzig	zho_news_2020_300K:298601	魏小明很诧异：“你怎么变得这么厉害！	CC-CEDICT	
329	4058_1	扮演	扮演	bàn yǎn		to play the role of	，一般扮演插科打诨比较滑稽或貌不驚人的角色，	，一般扮演插科打諢比較滑稽或貌不驚人的角色，	leipzig	zho_wikipedia_2018_1M:48566	，一般扮演插科打诨比较滑稽或貌不驚人的角色，	CC-CEDICT	
330	4058_1	滑稽	滑稽	huá jī		comical	，一般扮演插科打诨比较滑稽或貌不驚人的角色，	，一般扮演插科打諢比較滑稽或貌不驚人的角色，	leipzig	zho_wikipedia_2018_1M:48566	，一般扮演插科打诨比较滑稽或貌不驚人的角色，	CC-CEDICT	
331	4059_1	似乎	似乎	sì hū		it seems	看来，我似乎也可自诩为“有足够多的人生历练积累”者了。	看來，我似乎也可自詡為“有足夠多的人生歷練積累”者了。	leipzig	zho_news_2020_300K:223548	看来，我似乎也可自诩为“有足够多的人生历练积累”者了。	CC-CEDICT	
332	4059_1	历练	歷練	lì liàn		to learn through experience	看来，我似乎也可自诩为“有足够多的人生历练积累”者了。	看來，我似乎也可自詡為“有足夠多的人生歷練積累”者了。	leipzig	zho_news_2020_300K:223548	看来，我似乎也可自诩为“有足够多的人生历练积累”者了。	CC-CEDICT	
333	4059_1	积累	積累	jī lěi		to accumulate	看来，我似乎也可自诩为“有足够多的人生历练积累”者了。	看來，我似乎也可自詡為“有足夠多的人生歷練積累”者了。	leipzig	zho_news_2020_300K:223548	看来，我似乎也可自诩为“有足够多的人生历练积累”者了。	CC-CEDICT	
334	4070_1	不如	不如	bù rú		not equal to	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	千里馬用來拉磨或不如普通駑馬，才盡其用、用當其時方可得“求才”始終，讓人才發揮出其最大效能。	leipzig	zho_news_2020_300K:75249	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	CC-CEDICT	
335	4070_1	普通	普通	pǔ tōng		common	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	千里馬用來拉磨或不如普通駑馬，才盡其用、用當其時方可得“求才”始終，讓人才發揮出其最大效能。	leipzig	zho_news_2020_300K:75249	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	CC-CEDICT	
336	4070_1	驽马	駑馬	nú mǎ		inferior horse	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	千里馬用來拉磨或不如普通駑馬，才盡其用、用當其時方可得“求才”始終，讓人才發揮出其最大效能。	leipzig	zho_news_2020_300K:75249	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	CC-CEDICT	
337	4070_1	求才	求才	qiú cái		to seek talented individuals	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	千里馬用來拉磨或不如普通駑馬，才盡其用、用當其時方可得“求才”始終，讓人才發揮出其最大效能。	leipzig	zho_news_2020_300K:75249	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	CC-CEDICT	
338	4070_1	发挥	發揮	fā huī		to display	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	千里馬用來拉磨或不如普通駑馬，才盡其用、用當其時方可得“求才”始終，讓人才發揮出其最大效能。	leipzig	zho_news_2020_300K:75249	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	CC-CEDICT	
339	4070_1	效能	效能	xiào néng		efficacy	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	千里馬用來拉磨或不如普通駑馬，才盡其用、用當其時方可得“求才”始終，讓人才發揮出其最大效能。	leipzig	zho_news_2020_300K:75249	千里马用来拉磨或不如普通驽马，才尽其用、用当其时方可得“求才”始终，让人才发挥出其最大效能。	CC-CEDICT	
340	4074_1	血压	血壓	xuè yā	xiě yā	blood pressure	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	將血壓帶 (或止血帶) 套在手臂上，逐漸增加壓力，直到前臂發紺，橈動脈搏動幾乎消失。	tatoeba	13573939	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	CC-CEDICT	Taiwan MOE Concise Dictionary
341	4074_1	止血	止血	zhǐ xuè	zhǐ xiě	to staunch	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	將血壓帶 (或止血帶) 套在手臂上，逐漸增加壓力，直到前臂發紺，橈動脈搏動幾乎消失。	tatoeba	13573939	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	CC-CEDICT	Taiwan MOE Concise Dictionary
342	4074_1	前臂	前臂	qián bì		forearm	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	將血壓帶 (或止血帶) 套在手臂上，逐漸增加壓力，直到前臂發紺，橈動脈搏動幾乎消失。	tatoeba	13573939	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	CC-CEDICT	
343	4074_1	动脉	動脈	dòng mài		artery	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	將血壓帶 (或止血帶) 套在手臂上，逐漸增加壓力，直到前臂發紺，橈動脈搏動幾乎消失。	tatoeba	13573939	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	CC-CEDICT	
344	4074_1	搏动	搏動	bó dòng		to beat rhythmically	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	將血壓帶 (或止血帶) 套在手臂上，逐漸增加壓力，直到前臂發紺，橈動脈搏動幾乎消失。	tatoeba	13573939	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	CC-CEDICT	
345	4074_1	几乎	幾乎	jī hū		almost	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	將血壓帶 (或止血帶) 套在手臂上，逐漸增加壓力，直到前臂發紺，橈動脈搏動幾乎消失。	tatoeba	13573939	将血压带 (或止血带) 套在手臂上，逐渐增加压力，直到前臂发绀，桡动脉搏动几乎消失。	CC-CEDICT	
346	4078_1	公主	公主	gōng zhǔ		princess	杨师道尚桂阳公主，拜驸马都尉。	楊師道尚桂陽公主，拜駙馬都尉。	leipzig	zho_news_2020_300K:185040	杨师道尚桂阳公主，拜驸马都尉。	CC-CEDICT	
347	4078_1	都尉	都尉	dū wèi		military rank	杨师道尚桂阳公主，拜驸马都尉。	楊師道尚桂陽公主，拜駙馬都尉。	leipzig	zho_news_2020_300K:185040	杨师道尚桂阳公主，拜驸马都尉。	CC-CEDICT	
348	4079_1	文绉绉	文縐縐	wén zhōu zhōu		bookish	文绉绉是一个较少见的词语。	文縐縐是一個較少見的詞語。	authored	level-2/4079_1	文绉绉是一个较少见的词语。	CC-CEDICT	
349	4080_1	庞然大物	龐然大物	páng rán dà wù		huge object	这些庞然大物的到来使机场上的其他飞机顿时相形见绌：	這些龐然大物的到來使機場上的其他飛機頓時相形見絀：	leipzig	zho_news_2020_300K:273137	这些庞然大物的到来使机场上的其他飞机顿时相形见绌：	CC-CEDICT	
350	4080_1	到来	到來	dào lái		to arrive	这些庞然大物的到来使机场上的其他飞机顿时相形见绌：	這些龐然大物的到來使機場上的其他飛機頓時相形見絀：	leipzig	zho_news_2020_300K:273137	这些庞然大物的到来使机场上的其他飞机顿时相形见绌：	CC-CEDICT	
351	4081_1	驿站	驛站	yì zhàn		relay station for post horses	这是中国的春节，也是中国的逐梦驿站。	這是中國的春節，也是中國的逐夢驛站。	leipzig	zho_news_2020_300K:275665	这是中国的春节，也是中国的逐梦驿站。	CC-CEDICT	
352	4087_1	花石	花石	huā shí		marble	这些雨花石晶莹圆润，玲珑剔透。	這些雨花石晶瑩圓潤，玲瓏剔透。	leipzig	zho_news_2020_300K:273535	这些雨花石晶莹圆润，玲珑剔透。	CC-CEDICT	
353	4087_1	玲珑	玲瓏	líng lóng		clink of jewels	这些雨花石晶莹圆润，玲珑剔透。	這些雨花石晶瑩圓潤，玲瓏剔透。	leipzig	zho_news_2020_300K:273535	这些雨花石晶莹圆润，玲珑剔透。	CC-CEDICT	
354	4094_1	松山	鬆山	sōng shān		Matsuyama	参加过松山、阴登山、大垭口战役及滇西收复战役。	參加過鬆山、陰登山、大埡口戰役及滇西收復戰役。	leipzig	zho_news_2020_300K:79241	参加过松山、阴登山、大垭口战役及滇西收复战役。	CC-CEDICT	
355	4094_1	登山	登山	dēng shān		to climb a mountain	参加过松山、阴登山、大垭口战役及滇西收复战役。	參加過鬆山、陰登山、大埡口戰役及滇西收復戰役。	leipzig	zho_news_2020_300K:79241	参加过松山、阴登山、大垭口战役及滇西收复战役。	CC-CEDICT	
356	4094_1	收复	收復	shōu fù		to recover	参加过松山、阴登山、大垭口战役及滇西收复战役。	參加過鬆山、陰登山、大埡口戰役及滇西收復戰役。	leipzig	zho_news_2020_300K:79241	参加过松山、阴登山、大垭口战役及滇西收复战役。	CC-CEDICT	
357	4097_1	鞭挞	鞭撻	biān tà		to lash	它会鞭挞着我，成为一个优秀的人民教师。	它會鞭撻著我，成為一個優秀的人民教師。	leipzig	zho_news_2020_300K:122466	它会鞭挞着我，成为一个优秀的人民教师。	CC-CEDICT	
358	4097_1	教师	教師	jiào shī		teacher	它会鞭挞着我，成为一个优秀的人民教师。	它會鞭撻著我，成為一個優秀的人民教師。	leipzig	zho_news_2020_300K:122466	它会鞭挞着我，成为一个优秀的人民教师。	CC-CEDICT	
359	4100_1	医学	醫學	yī xué		medicine	贲门是一个医学词语。	賁門是一個醫學詞語。	authored	level-2/4100_1	贲门是一个医学词语。	CC-CEDICT	
360	4101_1	修好	修好	xiū hǎo		to repair	农民修好垱来引水。	農民修好壋來引水。	preexisting			CC-CEDICT	
361	4101_1	引水	引水	yǐn shuǐ		to pilot a ship	农民修好垱来引水。	農民修好壋來引水。	preexisting			CC-CEDICT	
362	4109_1	荚果	莢果	jiá guǒ		seed pod	荚果的形状、大小及荚瓣质地变化很大。	莢果的形狀、大小及莢瓣質地變化很大。	leipzig	zho_wikipedia_2018_1M:840575	荚果的形状、大小及荚瓣质地变化很大。	CC-CEDICT	
363	4109_1	形状	形狀	xíng zhuàng		form	荚果的形状、大小及荚瓣质地变化很大。	莢果的形狀、大小及莢瓣質地變化很大。	leipzig	zho_wikipedia_2018_1M:840575	荚果的形状、大小及荚瓣质地变化很大。	CC-CEDICT	
364	4109_1	质地	質地	zhì dì	zhí dì	texture	荚果的形状、大小及荚瓣质地变化很大。	莢果的形狀、大小及莢瓣質地變化很大。	leipzig	zho_wikipedia_2018_1M:840575	荚果的形状、大小及荚瓣质地变化很大。	CC-CEDICT	Taiwan MOE Concise Dictionary
365	4112_1	蓬荜	蓬蓽	péng bì		poor person's house	蓬荜是一个较少见的词语。	蓬蓽是一個較少見的詞語。	authored	level-2/4112_1	蓬荜是一个较少见的词语。	CC-CEDICT	
366	4118_1	山区	山區	shān qū		mountain area	，山区白族多食粗粮，比如玉米、荞麦。	，山區白族多食粗糧，比如玉米、蕎麥。	leipzig	zho_wikipedia_2018_1M:463930	，山区白族多食粗粮，比如玉米、荞麦。	CC-CEDICT	
367	4118_1	白族	白族	bái zú		Bai ethnic group	，山区白族多食粗粮，比如玉米、荞麦。	，山區白族多食粗糧，比如玉米、蕎麥。	leipzig	zho_wikipedia_2018_1M:463930	，山区白族多食粗粮，比如玉米、荞麦。	CC-CEDICT	
368	4118_1	粗粮	粗糧	cū liáng		coarse grains	，山区白族多食粗粮，比如玉米、荞麦。	，山區白族多食粗糧，比如玉米、蕎麥。	leipzig	zho_wikipedia_2018_1M:463930	，山区白族多食粗粮，比如玉米、荞麦。	CC-CEDICT	
369	4118_1	比如	比如	bǐ rú		for example	，山区白族多食粗粮，比如玉米、荞麦。	，山區白族多食粗糧，比如玉米、蕎麥。	leipzig	zho_wikipedia_2018_1M:463930	，山区白族多食粗粮，比如玉米、荞麦。	CC-CEDICT	
370	4118_1	玉米	玉米	yù mǐ		corn	，山区白族多食粗粮，比如玉米、荞麦。	，山區白族多食粗糧，比如玉米、蕎麥。	leipzig	zho_wikipedia_2018_1M:463930	，山区白族多食粗粮，比如玉米、荞麦。	CC-CEDICT	
371	4118_1	荞麦	蕎麥	qiáo mài		buckwheat	，山区白族多食粗粮，比如玉米、荞麦。	，山區白族多食粗糧，比如玉米、蕎麥。	leipzig	zho_wikipedia_2018_1M:463930	，山区白族多食粗粮，比如玉米、荞麦。	CC-CEDICT	
372	4123_1	通江	通江	tōng jiāng		to connect to a river	承东启西、接南济北、通江达海、人文荟萃。	承東啟西、接南濟北、通江達海、人文薈萃。	leipzig	zho_news_2020_300K:157252	承东启西、接南济北、通江达海、人文荟萃。	CC-CEDICT	
373	4123_1	人文	人文	rén wén		humanities	承东启西、接南济北、通江达海、人文荟萃。	承東啟西、接南濟北、通江達海、人文薈萃。	leipzig	zho_news_2020_300K:157252	承东启西、接南济北、通江达海、人文荟萃。	CC-CEDICT	
374	4123_1	荟萃	薈萃	huì cuì		to gather	承东启西、接南济北、通江达海、人文荟萃。	承東啟西、接南濟北、通江達海、人文薈萃。	leipzig	zho_news_2020_300K:157252	承东启西、接南济北、通江达海、人文荟萃。	CC-CEDICT	
375	4126_1	荸荠	荸薺	bí qí		Chinese water chestnut	荸荠又甜又脆，可以生吃也可以煮吃。	荸薺又甜又脆，可以生吃也可以煮吃。	leipzig	zho_news_2020_300K:248944	荸荠又甜又脆，可以生吃也可以煮吃。	CC-CEDICT	
376	4126_1	生吃	生吃	shēng chī		to eat raw	荸荠又甜又脆，可以生吃也可以煮吃。	荸薺又甜又脆，可以生吃也可以煮吃。	leipzig	zho_news_2020_300K:248944	荸荠又甜又脆，可以生吃也可以煮吃。	CC-CEDICT	
377	4129_1	中生代	中生代	zhōng shēng dài		the middle generation	食虫性动物在中生代上白垩纪地层中就已出现。	食蟲性動物在中生代上白堊紀地層中就已出現。	leipzig	zho_wikipedia_2018_1M:984753	食虫性动物在中生代上白垩纪地层中就已出现。	CC-CEDICT	
378	4129_1	白垩纪	白堊紀	bái è jì		Cretaceous	食虫性动物在中生代上白垩纪地层中就已出现。	食蟲性動物在中生代上白堊紀地層中就已出現。	leipzig	zho_wikipedia_2018_1M:984753	食虫性动物在中生代上白垩纪地层中就已出现。	CC-CEDICT	
379	4129_1	地层	地層	dì céng		stratum	食虫性动物在中生代上白垩纪地层中就已出现。	食蟲性動物在中生代上白堊紀地層中就已出現。	leipzig	zho_wikipedia_2018_1M:984753	食虫性动物在中生代上白垩纪地层中就已出现。	CC-CEDICT	
380	4130_1	荥阳	滎陽	xíng yáng		Xingyang	山径绕秋江，胜览幽芳，扶贫政策进荥阳。	山徑繞秋江，勝覽幽芳，扶貧政策進滎陽。	leipzig	zho_news_2020_300K:131604	山径绕秋江，胜览幽芳，扶贫政策进荥阳。	CC-CEDICT	
381	4131_1	确是	确是	què shì		certainly	荦确是一个较少见的词语。	犖确是一個較少見的詞語。	authored	level-2/4131_1	荦确是一个较少见的词语。	CC-CEDICT	
382	4132_1	睡醒	睡醒	shuì xǐng		to wake up	睡醒后在镜子前坐定，她才发现，原来红肿的地方，长出了像荨麻疹似的水肿性团块，还溃烂了。	睡醒後在鏡子前坐定，她才發現，原來紅腫的地方，長出了像蕁麻疹似的水腫性團塊，還潰爛了。	leipzig	zho_news_2020_300K:224315	睡醒后在镜子前坐定，她才发现，原来红肿的地方，长出了像荨麻疹似的水肿性团块，还溃烂了。	CC-CEDICT	
383	4132_1	镜子	鏡子	jìng zi		mirror	睡醒后在镜子前坐定，她才发现，原来红肿的地方，长出了像荨麻疹似的水肿性团块，还溃烂了。	睡醒後在鏡子前坐定，她才發現，原來紅腫的地方，長出了像蕁麻疹似的水腫性團塊，還潰爛了。	leipzig	zho_news_2020_300K:224315	睡醒后在镜子前坐定，她才发现，原来红肿的地方，长出了像荨麻疹似的水肿性团块，还溃烂了。	CC-CEDICT	
384	4132_1	坐定	坐定	zuò dìng		to be seated	睡醒后在镜子前坐定，她才发现，原来红肿的地方，长出了像荨麻疹似的水肿性团块，还溃烂了。	睡醒後在鏡子前坐定，她才發現，原來紅腫的地方，長出了像蕁麻疹似的水腫性團塊，還潰爛了。	leipzig	zho_news_2020_300K:224315	睡醒后在镜子前坐定，她才发现，原来红肿的地方，长出了像荨麻疹似的水肿性团块，还溃烂了。	CC-CEDICT	
